variable_name	field_id	visit_id	repetition_id	Field ID	Description	Category	Unnamed: 3	field_type	nice_description
eid	eid			eid	project-specific encrypted identifier	eid		eid	project-specific_encrypted_identifier
10004-0.0	10004	0	0	10004	Medication for pain relief, constipation, heartburn (pilot)	Medication		categorical_multiple	Medication_for_pain_relief,_constipation,_heartburn_(pilot)
10004-0.1	10004	0	1	10004	Medication for pain relief, constipation, heartburn (pilot)	Medication		categorical_multiple	Medication_for_pain_relief,_constipation,_heartburn_(pilot)
10004-0.2	10004	0	2	10004	Medication for pain relief, constipation, heartburn (pilot)	Medication		categorical_multiple	Medication_for_pain_relief,_constipation,_heartburn_(pilot)
10004-0.3	10004	0	3	10004	Medication for pain relief, constipation, heartburn (pilot)	Medication		categorical_multiple	Medication_for_pain_relief,_constipation,_heartburn_(pilot)
10004-0.4	10004	0	4	10004	Medication for pain relief, constipation, heartburn (pilot)	Medication		categorical_multiple	Medication_for_pain_relief,_constipation,_heartburn_(pilot)
10005-0.0	10005	0	0	10005	Medication for smoking cessation, constipation, heartburn, allergies (pilot)	Medication		categorical_multiple	Medication_for_smoking_cessation,_constipation,_heartburn,_allergies_(pilot)
10005-0.1	10005	0	1	10005	Medication for smoking cessation, constipation, heartburn, allergies (pilot)	Medication		categorical_multiple	Medication_for_smoking_cessation,_constipation,_heartburn,_allergies_(pilot)
10005-0.2	10005	0	2	10005	Medication for smoking cessation, constipation, heartburn, allergies (pilot)	Medication		categorical_multiple	Medication_for_smoking_cessation,_constipation,_heartburn,_allergies_(pilot)
10006-0.0	10006	0	0	10006	Mouth/teeth dental problems (pilot)	Mouth		categorical_multiple	Mouth/teeth_dental_problems_(pilot)
10006-0.1	10006	0	1	10006	Mouth/teeth dental problems (pilot)	Mouth		categorical_multiple	Mouth/teeth_dental_problems_(pilot)
10006-0.2	10006	0	2	10006	Mouth/teeth dental problems (pilot)	Mouth		categorical_multiple	Mouth/teeth_dental_problems_(pilot)
10006-0.3	10006	0	3	10006	Mouth/teeth dental problems (pilot)	Mouth		categorical_multiple	Mouth/teeth_dental_problems_(pilot)
10007-0.0	10007	0	0	10007	Vitamin and mineral supplements (pilot)	Medication		categorical_multiple	Vitamin_and_mineral_supplements_(pilot)
